time_stamp	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	px	py	v	yaw	yaw_rate	sensor_type	NIS
11477010443000000	0.359997	0.600041	-4.80025	0.0016588	0.201778	0.385989	0	0	0	R	0
11477010443050000	0.119984	0.600207	-4.80057	0.00497648	0.218589	0.679541	0.000838558	-2.1169e-17	-2.60209e-17	L	0.0883998
11477010443100000	-0.120044	0.600581	-4.801	0.00995308	-0.0989851	0.761073	0.95498	0.00286071	0.000387262	R	11.7778
11477010443150000	-0.360093	0.601244	-4.80155	0.0165887	-0.133162	0.648791	0.721445	-0.108113	-0.01531	L	2.6549
11477010443200000	-0.60017	0.602281	-4.80221	0.0248832	-0.554306	0.715592	-2.24483	4.57095	1.05353	R	65.3124
11477010443250000	-0.840279	0.603774	-4.80296	0.0348368	-0.591762	0.725071	-1.91963	5.18304	1.19077	L	8.6474
11477010443300000	-1.08042	0.605806	-4.8038	0.0464493	-1.05517	0.814829	-2.7088	7.58471	2.00145	R	37.2645
11477010443350000	-1.32061	0.608459	-4.80472	0.0597206	-1.08293	0.679182	-2.72018	7.66067	1.96156	L	1.44123
11477010443400000	-1.56084	0.611818	-4.8057	0.0746505	-1.29947	0.539528	-2.30168	6.0396	-0.399388	R	30.6584
11477010443450000	-1.80112	0.615965	-4.80673	0.0912385	-1.41425	0.573591	-2.31758	6.00694	-0.451533	L	0.270333
11477010443500000	-2.04145	0.620982	-4.80778	0.109484	-1.65345	0.608136	-3.27055	5.93275	-0.725057	R	33.9767
11477010443550000	-2.28182	0.626953	-4.80884	0.129387	-1.83746	0.691283	-3.4112	5.85729	-0.838859	L	10.0648
11477010443600000	-2.52225	0.63396	-4.80989	0.150946	-2.10767	0.557756	-3.74805	6.37275	0.964167	R	28.7446
11477010443650000	-2.76273	0.642086	-4.81089	0.174159	-2.33609	0.605782	-3.90224	6.30596	0.625305	L	11.6562
11477010443700000	-3.00325	0.651414	-4.81184	0.199026	-2.6016	0.662136	-4.13807	6.21624	0.189508	R	18.8842
11477010443750000	-3.24381	0.662026	-4.8127	0.225545	-2.86171	0.719051	-4.27413	6.17977	0.0834027	L	11.4705
11477010443800000	-3.48441	0.674004	-4.81344	0.253712	-3.1275	0.663583	-4.39496	6.29626	0.359726	R	6.01833
11477010443850000	-3.72504	0.687432	-4.81403	0.283526	-3.40182	0.584149	-4.4977	6.42559	0.646146	L	8.82909
11477010443900000	-3.9657	0.702391	-4.81445	0.314984	-3.64953	0.668849	-4.55631	6.29571	0.217859	R	4.71842
11477010443950000	-4.20636	0.718963	-4.81465	0.348081	-3.95496	0.594003	-4.69104	6.39776	0.427806	L	13.3544
11477010444000000	-4.44703	0.73723	-4.81461	0.382812	-4.20842	0.595042	-4.72961	6.38029	0.32932	R	1.63133
11477010444050000	-4.68769	0.757274	-4.81428	0.419174	-4.47839	0.659529	-4.77238	6.31551	0.16785	L	6.17291
11477010444100000	-4.92832	0.779176	-4.81363	0.45716	-4.71522	0.744693	-4.7692	6.23326	-0.0141373	R	4.11437
11477010444150000	-5.1689	0.803017	-4.81263	0.496763	-5.00075	0.738001	-4.83367	6.25295	0.0255377	L	4.33036
11477010444200000	-5.40943	0.828877	-4.81122	0.537976	-5.27125	0.707264	-4.88144	6.28406	0.075307	R	2.80357
11477010444250000	-5.64986	0.856837	-4.80937	0.580791	-5.51589	0.818887	-4.87757	6.20113	-0.0710158	L	3.6791
11477010444300000	-5.8902	0.886977	-4.80703	0.625197	-5.75704	0.922266	-4.86628	6.13748	-0.167366	R	7.54788
11477010444350000	-6.1304	0.919375	-4.80415	0.671184	-5.98232	0.936914	-4.85037	6.14309	-0.146079	L	0.665633
11477010444400000	-6.37044	0.954111	-4.8007	0.718741	-6.23098	0.971817	-4.87279	6.13603	-0.145481	R	3.6823
11477010444450000	-6.61028	0.991262	-4.79662	0.767854	-6.51392	0.960116	-4.91351	6.16393	-0.0926954	L	3.41265
11477010444500000	-6.84991	1.03091	-4.79187	0.818509	-6.75802	0.987941	-4.91836	6.16023	-0.0916728	R	0.499545
11477010444550000	-7.08928	1.07312	-4.78638	0.87069	-7.01043	1.08664	-4.93199	6.11486	-0.147778	L	1.87234
11477010444600000	-7.32835	1.11798	-4.78012	0.92438	-7.26703	1.07545	-4.93881	6.14023	-0.103146	R	2.41206
11477010444650000	-7.56709	1.16556	-4.77304	0.979561	-7.5168	1.12256	-4.9454	6.129	-0.111043	L	0.156647
11477010444700000	-7.80545	1.21593	-4.76506	1.03621	-7.74135	1.16334	-4.92731	6.12068	-0.11505	R	2.81892
11477010444750000	-8.04339	1.26918	-4.75615	1.09431	-7.98702	1.1953	-4.92915	6.11985	-0.10867	L	0.0295299
11477010444800000	-8.28085	1.32536	-4.74625	1.15383	-8.21976	1.30654	-4.93186	6.07557	-0.158287	R	4.0655
11477010444850000	-8.51779	1.38455	-4.7353	1.21475	-8.46371	1.33985	-4.93233	6.07763	-0.145665	L	0.0969401
11477010444900000	-8.75416	1.44681	-4.72324	1.27704	-8.6918	1.38775	-4.89931	6.06947	-0.149357	R	6.70578
11477010444950000	-8.98989	1.51223	-4.71002	1.34067	-8.93117	1.48461	-4.90646	6.03943	-0.177386	L	0.698429
11477010445000000	-9.22493	1.58085	-4.69558	1.40561	-9.16494	1.51298	-4.90575	6.04733	-0.155272	R	4.14623
11477010445050000	-9.45921	1.65276	-4.67987	1.47183	-9.42708	1.52753	-4.91858	6.06379	-0.124837	L	1.28792
11477010445100000	-9.69268	1.728	-4.66282	1.53929	-9.67457	1.53533	-4.92276	6.08202	-0.0936182	R	2.97848
11477010445150000	-9.92526	1.80665	-4.64437	1.60795	-9.94003	1.66399	-4.95773	6.04052	-0.138646	L	5.62993
11477010445200000	-10.1569	1.88875	-4.62448	1.67776	-10.1642	1.79439	-4.954	5.99682	-0.185218	R	6.03789
11477010445250000	-10.3875	1.97438	-4.60307	1.7487	-10.3736	1.89178	-4.93658	5.97168	-0.205438	L	1.55269
11477010445300000	-10.6169	2.06357	-4.58009	1.82071	-10.621	1.97665	-4.95988	5.96132	-0.201823	R	1.88035
11477010445350000	-10.8452	2.15639	-4.55549	1.89375	-10.8576	2.03153	-4.95608	5.96342	-0.186811	L	0.196859
11477010445400000	-11.0722	2.25288	-4.52921	1.96776	-11.0835	2.12884	-4.95632	5.94471	-0.197722	R	1.2472
11477010445450000	-11.2979	2.35309	-4.50118	2.04269	-11.2751	2.28338	-4.94052	5.8952	-0.247616	L	3.2113
11477010445500000	-11.5221	2.45707	-4.47136	2.11849	-11.5119	2.37076	-4.94955	5.88885	-0.238237	R	0.358116
11477010445550000	-11.7448	2.56486	-4.43968	2.1951	-11.7403	2.51101	-4.96294	5.85636	-0.263091	L	0.943295
11477010445600000	-11.9658	2.6765	-4.4061	2.27246	-11.984	2.61989	-4.9921	5.84887	-0.248698	R	3.16706
11477010445650000	-12.1851	2.79202	-4.37055	2.35051	-12.2165	2.75209	-5.00614	5.82565	-0.261255	L	0.743322
11477010445700000	-12.4026	2.91145	-4.333	2.42918	-12.4542	2.83964	-5.0108	5.82703	-0.242202	R	1.32723
11477010445750000	-12.6182	3.03483	-4.29338	2.5084	-12.6617	3.00669	-5.01774	5.78679	-0.276484	L	0.907341
11477010445800000	-12.8317	3.16218	-4.25165	2.5881	-12.8836	3.13433	-5.02617	5.77231	-0.274442	R	0.492189
11477010445850000	-13.0431	3.29353	-4.20776	2.66821	-13.0773	3.31627	-5.02991	5.72819	-0.311561	L	1.07526
11477010445900000	-13.2522	3.42888	-4.16167	2.74865	-13.2731	3.44265	-5.014	5.71242	-0.312836	R	3.96711
11477010445950000	-13.459	3.56827	-4.11333	2.82935	-13.4623	3.58788	-5.00222	5.68878	-0.323425	L	0.789009
11477010446000000	-13.6633	3.71169	-4.0627	2.91022	-13.6835	3.74512	-5.02537	5.67245	-0.318314	R	4.24323
11477010446050000	-13.865	3.85915	-4.00974	2.99118	-13.8922	3.85973	-5.01413	5.67038	-0.302288	L	0.458775
11477010446100000	-14.064	4.01066	-3.95441	3.07214	-14.0821	4.03433	-5.01563	5.63826	-0.325093	R	1.91496
11477010446150000	-14.2602	4.16622	-3.89669	3.15303	-14.2753	4.19211	-5.01439	5.61833	-0.329636	L	0.0369088
11477010446200000	-14.4535	4.32581	-3.83653	3.23373	-14.4914	4.35493	-5.03186	5.60402	-0.326305	R	5.73916
11477010446250000	-14.6436	4.48943	-3.77392	3.31417	-14.6735	4.5498	-5.04242	5.57076	-0.346002	L	0.476992
11477010446300000	-14.8306	4.65706	-3.70883	3.39425	-14.867	4.71664	-5.04598	5.55458	-0.344204	R	0.192362
11477010446350000	-15.0143	4.82869	-3.64123	3.47388	-15.021	4.89653	-5.03001	5.52445	-0.360959	L	1.77843
11477010446400000	-15.1945	5.00428	-3.5711	3.55294	-15.1961	5.06502	-5.02132	5.50549	-0.36469	R	0.704398
11477010446450000	-15.3712	5.1838	-3.49844	3.63135	-15.3794	5.25985	-5.03582	5.48293	-0.368719	L	0.625589
11477010446500000	-15.5441	5.36723	-3.42323	3.70901	-15.5291	5.47235	-5.03322	5.4397	-0.407962	R	2.40366
11477010446550000	-15.7133	5.55452	-3.34546	3.78581	-15.741	5.59573	-5.02046	5.45597	-0.365311	L	2.11202
11477010446600000	-15.8785	5.74562	-3.26513	3.86164	-15.9055	5.76707	-5.00875	5.44149	-0.361779	R	2.24949
11477010446650000	-16.0396	5.94048	-3.18223	3.9364	-16.0438	5.96009	-4.99615	5.41341	-0.374655	L	1.18586
11477010446700000	-16.1965	6.13906	-3.09679	4.00999	-16.1982	6.15251	-4.98914	5.38739	-0.391579	R	1.16855
11477010446750000	-16.3491	6.34128	-3.00879	4.08229	-16.3345	6.38081	-5.00129	5.35213	-0.409154	L	0.500434
11477010446800000	-16.4972	6.54708	-2.91826	4.1532	-16.4663	6.56659	-4.97742	5.32517	-0.427355	R	6.43661
11477010446850000	-16.6407	6.75639	-2.82522	4.22261	-16.6321	6.75067	-4.97608	5.31826	-0.410478	L	0.506665
11477010446900000	-16.7795	6.96912	-2.72968	4.29042	-16.7837	6.95689	-4.98477	5.30487	-0.397175	R	0.713655
11477010446950000	-16.9135	7.18521	-2.63167	4.3565	-16.9804	7.16658	-5.01651	5.30513	-0.371031	L	6.84481
11477010447000000	-17.0425	7.40456	-2.53122	4.42077	-17.0917	7.39702	-5.01406	5.26329	-0.409852	R	1.89995
11477010447050000	-17.1665	7.62707	-2.42838	4.4831	-17.189	7.6509	-5.0285	5.22147	-0.433589	L	0.947975
11477010447100000	-17.2852	7.85264	-2.32317	4.54339	-17.3243	7.85261	-5.02403	5.21601	-0.40675	R	1.93274
11477010447150000	-17.3986	8.08118	-2.21565	4.60153	-17.4483	8.02662	-4.98984	5.20882	-0.394401	L	2.65846
11477010447200000	-17.5066	8.31257	-2.10586	4.65742	-17.5473	8.26526	-4.995	5.17507	-0.415009	R	2.27603
11477010447250000	-17.6091	8.54669	-1.99386	4.71095	-17.6907	8.48062	-5.00214	5.16893	-0.39754	L	1.32335
11477010447300000	-17.7059	8.78343	-1.87971	4.76202	-17.7574	8.70896	-4.98293	5.12237	-0.445217	R	4.26894
11477010447350000	-17.797	9.02267	-1.76348	4.81052	-17.8275	8.97207	-5.00019	5.08326	-0.463166	L	0.835569
